Review Name,Review Text
Marguerita Abou Ali,After trying Place recently i was a little disappointed. The food in itself was fine but used to be better; everything from batata harra to mtabal etc its was okay but not as good at it used to be
Mazen Namani,Traditional style lebanese coffee-shop/eatery with a warm atmosphere.  nice outdoor area.  Plat du jour is good value for money.
Oliver Aydi,Just love to go there and enjoy a series of vegan mezza!
Wissam Chidiak,Place is by far my favorite restaurant that serves Lebanese/Oriental food!
Manik Guru,Nice place with modern life restaurant but with oriental lebanese food ..... must visit
Sudaay Tat,"If you’re looking for Lebanese brunch, it’s the best way in Beirut. You can also go for breakfast, dinner, lunch. It’s up to you."
Bassel Darwich,"Seating was cramped and uncomfortable. The tabbouleh was overspiced, ruining the flavor."
Saba Snounou,They have the best batata Harra ever😋😋 …
Amjad Muhammad,Very nice ambiance and decent food.  Good for reading or a quiet work session.
Nada Ismail,Nice cozy restaurant with homy vibes and amazing design. The food is good and service is quick.
Hadi Alkurdi,"Unwelcoming atmosphere, especially towards foreigners. The labneh was too sour."
Nancy H.,"** Authentic Lebnanese Experience **
The place is very nice, decorations, outdoor and indoor , staff is friendly
The food was amazing and very tasty!
Overall: will go again!"
Amin Alkhatib,"Food was disappointing, fatoush with too much dressing and the chicken shawarma was not a proper chicken shawarma. Quite disappointed. I'm disappointed by the experience when compared to the reviews. It's more of a 3.9 star average."
Sherif Hashem,"Amazing Lebanese food, great atmosphere, so nice and friendly stuff who are really polite and helpful.
Become my favorite restaurant in Beirut🤘🏻 …"
Alaa Shehab,"Amazing place 😍😍
Food is Sooo tasty, and great staff."
Berkay Bender,Food was nice and prices are affordable..
Rani Arnaout,Restaurant seemed more focused on appearance than food quality. The shish taouk was mediocre.
Fadi Iskandarani,"Funky coffee diner in central Beirut, located on Hamra street.
Good service and nice atmosphere"
R J,Food and drinks were great. Service was a bit slow but still OK.
Ahmad Itany,Try to sit outside in the garden and grab a book if you want from there library.. And enjoy the Lebanese cuisine..not so expensive prices
Jean Louis Bordeleau,Fries were soggy and seemed like they were reheated. Not enjoyable at all.
Yasmin,Very good food at a reasonable price and excellent service!
Mohamad Gannam,The best place to eat original Lebanese home food in Hamra also nice drinks and the best Patata harra in Lebanon
Chelsea Klapwyk,5 stara from Canada! This was our favourite restaurant in Lebanon. The servers are friendly and hard working but still seem happy and relaxed. The food is great and the decor is very hip and inviting.
Ali MK,"The best restaurant in the world.. let alone lebanon!!!
So cozy and comfy
Amazing food
And friendly staff"
Aur Ghs,"Ambiance: cozy and chill, food: tasty and delicious, hospitality: warm and fast.

Definitely recommended"
Ibrahim D. Bahati,Good place for cheap Lebanese food but quite noisy. The service is also great!
